# SOPH Battery Test Log
# Suite:     nist
# Seed:      ffff
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex ffff --bytes 0
# Date:      2026-03-22 10:45:32
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 96 111 110 117  86  91 101  93 100  95  0.457825    988/1000	 NonOverlappingTemplate
101  93  99  98  96 102 107 104 106  94  0.989425    991/1000	 NonOverlappingTemplate
 99  78  91  92 105 118 109  92 114 102  0.152044    981/1000	 NonOverlappingTemplate
 91 103 112 105 110  91  88  94  96 110  0.599693    993/1000	 NonOverlappingTemplate
102  98 101 102 107 105  96  94 100  95  0.995969    992/1000	 NonOverlappingTemplate
110  89 104  94  97 107  97 114  95  93  0.729870    992/1000	 NonOverlappingTemplate
102  88  91 116  91  90  95 111 100 116  0.298282    987/1000	 NonOverlappingTemplate
 97 114 111  93  91  99  89  84 121 101  0.173770    994/1000	 NonOverlappingTemplate
104 126 102  95  96 110 101  87  80  99  0.119508    988/1000	 NonOverlappingTemplate
107  82 116 102 106  91 112 116  82  86  0.053627    996/1000	 NonOverlappingTemplate
 96  97 104  99  93  96  93 122 101  99  0.697257    991/1000	 NonOverlappingTemplate
 98  97 111  96 100 109  95  94 106  94  0.933472    987/1000	 NonOverlappingTemplate
108 107  96 111  88 100  96 102 105  87  0.731886    992/1000	 NonOverlappingTemplate
102  96  92  95 109  93 109  99 104 101  0.947308    994/1000	 NonOverlappingTemplate
 96  94  91 110  97 110  91 112 108  91  0.624627    989/1000	 NonOverlappingTemplate
115  93  98 110  83  98  94 104 104 101  0.595549    991/1000	 NonOverlappingTemplate
 97 102 104  90 112  95  95  92  98 115  0.723804    984/1000	 NonOverlappingTemplate
 89 103 101  93 109 102  96 116  94  97  0.757790    992/1000	 NonOverlappingTemplate
 68  95 103  97 103 121 100 111 105  97  0.053286    991/1000	 NonOverlappingTemplate
 98  98 102 129  98  84  92 111  94  94  0.133404    992/1000	 NonOverlappingTemplate
131  92 105  97 108  91  91 106  95  84  0.066465    983/1000	 NonOverlappingTemplate
 93  99 100 112  97  99  97  93 100 110  0.934599    994/1000	 NonOverlappingTemplate
111  99 105  85 111 100  93  93  96 107  0.682823    991/1000	 NonOverlappingTemplate
113 102  92 106 110 100  85  92 110  90  0.473064    990/1000	 NonOverlappingTemplate
113 106 111 101 111 107  87  87  88  89  0.275709    988/1000	 NonOverlappingTemplate
 94  92  96  92 107 107 114  95 104  99  0.820143    990/1000	 NonOverlappingTemplate
 99  97  99 109  86 107  94 107 103  99  0.889118    992/1000	 NonOverlappingTemplate
116 102  94  93  90  87 106 101  87 124  0.123755    991/1000	 NonOverlappingTemplate
 94 101 109 115  89  98  98 110  90  96  0.649612    986/1000	 NonOverlappingTemplate
110 115  96  89  96  98  90  88 115 103  0.383827    994/1000	 NonOverlappingTemplate
105  97  99 104 105 102  98  91 104  95  0.990483    987/1000	 NonOverlappingTemplate
 97 104 116  90 106  88  98 123  95  83  0.119508    986/1000	 NonOverlappingTemplate
 93 108  98 109  96 112  91  96  96 101  0.858002    990/1000	 NonOverlappingTemplate
 95  90 113 121 100  94 109  89  94  95  0.323668    989/1000	 NonOverlappingTemplate
108  91 106 104 103 106 108  85  85 104  0.562591    994/1000	 NonOverlappingTemplate
105  98 107 111 100  93 116  92  91  87  0.516113    992/1000	 NonOverlappingTemplate
 88  95 104  86 119 105 103 105 104  91  0.439122    990/1000	 NonOverlappingTemplate
103 104 104  97  89 126  93  89 104  91  0.266235    989/1000	 OverlappingTemplate
103 109 106  99  93 104  97 106  92  91  0.922855    989/1000	 Universal
108 117  91 106  82  72 109 110 116  89  0.011144    992/1000	 ApproximateEntropy
 78  49  71  60  55  59  55  63  52  62  0.245266    589/604  *	 RandomExcursions
 57  66  81  61  60  53  47  66  51  62  0.135370    593/604 	 RandomExcursions
 53  56  61  64  63  69  64  62  64  48  0.759626    598/604 	 RandomExcursions
 56  57  47  64  57  67  63  71  65  57  0.624021    596/604 	 RandomExcursions
 62  57  65  65  69  67  54  63  48  54  0.648150    593/604 	 RandomExcursions
 65  62  53  66  57  60  52  71  59  59  0.824975    602/604 	 RandomExcursions
 57  66  62  55  62  63  77  54  55  53  0.532145    597/604 	 RandomExcursions
 65  63  80  64  60  48  54  62  51  57  0.215559    600/604 	 RandomExcursions
 50  62  67  56  52  67  60  61  68  61  0.766110    598/604 	 RandomExcursionsVariant
 57  65  55  56  57  60  82  61  63  48  0.217447    599/604 	 RandomExcursionsVariant
 56  60  61  70  62  54  68  62  59  52  0.853478    600/604 	 RandomExcursionsVariant
 58  61  54  70  65  56  58  64  63  55  0.919082    599/604 	 RandomExcursionsVariant
 66  57  64  55  57  57  61  64  67  56  0.962157    596/604 	 RandomExcursionsVariant
 69  59  55  51  66  65  71  55  67  46  0.306372    592/604 	 RandomExcursionsVariant
 68  55  61  71  63  52  55  62  72  45  0.257988    586/604  *	 RandomExcursionsVariant
 65  56  63  54  56  57  61  80  49  63  0.303931    593/604 	 RandomExcursionsVariant
 59  56  69  57  61  60  59  54  57  72  0.842314    599/604 	 RandomExcursionsVariant
 57  63  63  63  64  53  53  43  78  67  0.144618    600/604 	 RandomExcursionsVariant
 50  79  53  64  63  60  50  52  63  70  0.147357    598/604 	 RandomExcursionsVariant
 59  57  54  68  61  57  60  78  53  57  0.505723    599/604 	 RandomExcursionsVariant
 60  65  55  56  74  48  64  75  44  63  0.088954    595/604 	 RandomExcursionsVariant
 61  64  58  59  52  76  47  67  68  52  0.251566    602/604 	 RandomExcursionsVariant
 50  71  58  62  53  69  59  59  60  63  0.729936    601/604 	 RandomExcursionsVariant
 48  67  71  55  62  56  52  76  62  55  0.231033    600/604 	 RandomExcursionsVariant
 47  69  61  59  55  58  67  65  60  63  0.739918    597/604 	 RandomExcursionsVariant
 50  67  62  59  56  61  65  66  53  65  0.830831    599/604 	 RandomExcursionsVariant
100 104  93 114  93  84 109  99 107  97  0.630872    992/1000	 Serial
 94  93 101  99 120 106 105  86 103  93  0.532132    996/1000	 Serial
 96 103  94 104  92 102 103 106  92 108  0.956729    989/1000	 LinearComplexity


- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
The minimum pass rate for each statistical test with the exception of the
random excursion (variant) test is approximately = 980 for a
sample size = 1000 binary sequences.

The minimum pass rate for the random excursion (variant) test
is approximately = 590 for a sample size = 604 binary sequences.

For further guidelines construct a probability table using the MAPLE program
provided in the addendum section of the documentation.
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

# ── NIST Weak re-run round 1/1 ──
# Tests: RandomExcursions, RandomExcursionsVariant | Bitstreams: 4000
------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
262 224 246 242 244 246 242 271 239 253  0.736061   2431/2469	 RandomExcursions
249 258 268 252 223 245 224 265 243 242  0.497989   2441/2469	 RandomExcursions
224 246 240 263 245 278 232 244 261 236  0.390576   2445/2469	 RandomExcursions
250 221 225 268 229 293 232 257 242 252  0.036091   2442/2469	 RandomExcursions
251 237 254 256 266 257 231 234 227 256  0.685654   2431/2469	 RandomExcursions
265 252 240 262 236 225 225 261 255 248  0.535085   2451/2469	 RandomExcursions
217 252 249 231 262 254 272 246 258 228  0.319348   2446/2469	 RandomExcursions
262 228 265 253 255 232 242 257 245 230  0.668880   2437/2469	 RandomExcursions
212 256 265 256 234 268 264 249 231 234  0.196486   2447/2469	 RandomExcursionsVariant
216 249 286 260 223 272 274 231 244 214  0.004217   2451/2469	 RandomExcursionsVariant
211 266 266 260 250 246 249 266 236 219  0.120849   2446/2469	 RandomExcursionsVariant
229 252 262 266 256 233 242 236 235 258  0.681468   2450/2469	 RandomExcursionsVariant
238 237 261 256 250 248 256 237 249 237  0.962304   2452/2469	 RandomExcursionsVariant
245 238 239 259 255 260 256 226 251 240  0.874958   2438/2469	 RandomExcursionsVariant
256 250 250 250 237 239 246 233 285 223  0.344000   2433/2469	 RandomExcursionsVariant
242 275 266 231 203 251 254 262 236 249  0.083087   2444/2469	 RandomExcursionsVariant
225 251 262 244 241 245 244 248 242 267  0.843251   2442/2469	 RandomExcursionsVariant
238 249 233 252 271 241 252 226 248 259  0.720520   2450/2469	 RandomExcursionsVariant
245 246 254 244 256 232 254 235 256 247  0.977958   2442/2469	 RandomExcursionsVariant
239 253 243 275 236 247 230 256 244 246  0.772054   2444/2469	 RandomExcursionsVariant
