# SOPH Battery Test Log
# Suite:     nist
# Seed:      5555555555555555
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 5555555555555555 --bytes 0
# Date:      2026-03-22 22:59:04
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
103  90  97  99 109 102 110 106  91  93  0.859637    989/1000	 NonOverlappingTemplate
101 119  92  96 106  92 107 106  96  85  0.467322    994/1000	 NonOverlappingTemplate
102  82  85 106  96 114 101  99 103 112  0.387264    985/1000	 NonOverlappingTemplate
 91 101 106 102  91  92  96 109 110 102  0.861264    990/1000	 NonOverlappingTemplate
 96 112  96  97  85  84 104 123  94 109  0.150340    991/1000	 NonOverlappingTemplate
 86 100 105 106  99  96 100  96 105 107  0.933472    996/1000	 NonOverlappingTemplate
 93  95  99  96  87 101 112 100  90 127  0.194813    984/1000	 NonOverlappingTemplate
109  97  95  99  91  94  96  98 107 114  0.836048    993/1000	 NonOverlappingTemplate
 82 111  90 112  95  96 111  91 105 107  0.345650    990/1000	 NonOverlappingTemplate
 92  96  92  93  95  99 116 113 107  97  0.635037    989/1000	 NonOverlappingTemplate
 84  91 105  91 100 114 117  94  90 114  0.181557    995/1000	 NonOverlappingTemplate
 98 105 110 105  94  98 114  95  84  97  0.657933    980/1000 *	 NonOverlappingTemplate
 86 111 101  80  99 110  94 118  98 103  0.217857    992/1000	 NonOverlappingTemplate
105  85  93  92 119 120  81  96  98 111  0.061647    994/1000	 NonOverlappingTemplate
108 110  86 108  97  99  98  95  99 100  0.864494    993/1000	 NonOverlappingTemplate
 96  96 102 105 102 110 102  90  94 103  0.958485    988/1000	 NonOverlappingTemplate
 98  85  91  87 104 100 118 114  97 106  0.304126    995/1000	 NonOverlappingTemplate
101  99  90  88 100 108 102 109 111  92  0.759756    990/1000	 NonOverlappingTemplate
 89 109 126  82 121  96  99  93  85 100  0.022452    990/1000	 NonOverlappingTemplate
 95 109  99  98  74  89 107  98 117 114  0.106877    995/1000	 NonOverlappingTemplate
 83 104 106  82 108 119  93 105 109  91  0.151190    993/1000	 NonOverlappingTemplate
116 102  92  92  97 122  79  96  86 118  0.029011    990/1000	 NonOverlappingTemplate
 93  97  99  89  87 110 110 105 102 108  0.697257    993/1000	 NonOverlappingTemplate
 88 103  96 102  96 103  97 110 103 102  0.955835    991/1000	 NonOverlappingTemplate
 98  87  97  76 108 111  98 119 115  91  0.064015    986/1000	 NonOverlappingTemplate
 87  98  97 106  95 104 101 105 110  97  0.915317    993/1000	 NonOverlappingTemplate
116  86 101 103  90 111 103  92  86 112  0.278461    997/1000	 NonOverlappingTemplate
115 124  83 100  98  96  89  88 106 101  0.118120    987/1000	 NonOverlappingTemplate
 94 115  85  98 110 101 102 102  88 105  0.566688    990/1000	 NonOverlappingTemplate
 99  98 100 117  87 103 106  95 104  91  0.709558    991/1000	 NonOverlappingTemplate
106  93 106 107  98  86 109  96 101  98  0.858002    987/1000	 NonOverlappingTemplate
106  93 111 105  98  91  97 103  81 115  0.419021    993/1000	 NonOverlappingTemplate
101 101  94 100 102 106  96  94  99 107  0.994250    986/1000	 NonOverlappingTemplate
 87  82  98  87  90 112  96 112 110 126  0.030197    984/1000	 NonOverlappingTemplate
 90  89  92 101 109 120 105 102  87 105  0.358641    993/1000	 NonOverlappingTemplate
125  86  83 113 104  96 101 103  98  91  0.120207    990/1000	 NonOverlappingTemplate
 93  99 100 101 115  96  88 109 105  94  0.761719    995/1000	 NonOverlappingTemplate
101  99  96 100 100 101  97 105 105  96  0.999564    992/1000	 NonOverlappingTemplate
110  94  98  88  91 103  94  97 121 104  0.459717    988/1000	 NonOverlappingTemplate
 96  98 109  97 102 114  79  95 110 100  0.459717    990/1000	 NonOverlappingTemplate
 94 106  95  96  92  98 105 104  95 115  0.858002    992/1000	 NonOverlappingTemplate
104  95  90  97 105 103 105 103 103  95  0.980341    985/1000	 NonOverlappingTemplate
106  90 103  92 109 100 111 101  97  91  0.832561    989/1000	 NonOverlappingTemplate
