# SOPH Battery Test Log
# Suite:     nist
# Seed:      cafebabe
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex cafebabe --bytes 0
# Date:      2026-03-22 22:57:43
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 55  61  74  56  60  70  64  73  50  60  0.423465    616/623 	 RandomExcursionsVariant
 63  48  64  69  74  54  57  72  58  64  0.378320    614/623 	 RandomExcursionsVariant
 61  55  67  59  68  62  53  77  64  57  0.607066    616/623 	 RandomExcursionsVariant
 59  62  64  59  83  60  70  56  51  59  0.264013    614/623 	 RandomExcursionsVariant
 60  65  57  83  60  69  56  57  59  57  0.346472    617/623 	 RandomExcursionsVariant
 64  61  79  57  63  52  66  52  52  77  0.129404    616/623 	 RandomExcursionsVariant
 67  60  67  67  65  66  51  65  63  52  0.801609    619/623 	 RandomExcursionsVariant
 72  61  70  67  60  45  77  47  52  72  0.033232    619/623 	 RandomExcursionsVariant
 66  76  67  58  69  52  54  54  70  57  0.356890    616/623 	 RandomExcursionsVariant
 58  73  62  52  63  54  63  71  62  65  0.710198    613/623 	 RandomExcursionsVariant
 50  72  61  56  50  54  58  71  68  83  0.047967    614/623 	 RandomExcursionsVariant
 56  54  60  53  64  71  72  83  66  44  0.030190    621/623 	 RandomExcursionsVariant
 54  53  65  60  69  67  65  51  79  60  0.311602    617/623 	 RandomExcursionsVariant
 55  60  69  60  59  58  68  68  63  63  0.952336    618/623 	 RandomExcursionsVariant
 67  58  59  59  52  60  66  66  65  71  0.870841    616/623 	 RandomExcursionsVariant
 58  66  56  54  70  52  63  56  71  77  0.331222    617/623 	 RandomExcursionsVariant
 51  64  72  63  55  55  58  62  64  79  0.338790    619/623 	 RandomExcursionsVariant
 59  60  42  81  64  56  53  70  76  62  0.029550    619/623 	 RandomExcursionsVariant
111 100 110  93  95  92 105 102  97  95  0.896345    992/1000	 Serial
102 102 104 109 106 119  87  96  83  92  0.319084    989/1000	 Serial
 95 108 118  85  99  95 104 101 101  94  0.618385    993/1000	 LinearComplexity


- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
The minimum pass rate for each statistical test with the exception of the
random excursion (variant) test is approximately = 980 for a
sample size = 1000 binary sequences.

The minimum pass rate for the random excursion (variant) test
is approximately = 609 for a sample size = 623 binary sequences.

For further guidelines construct a probability table using the MAPLE program
provided in the addendum section of the documentation.
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
